model	language	perturbation	dev_acc	test_acc
mBERT	Irish	mBERT-lc-2	71.46634372792411	49.86168601716305
mBERT	Irish	mBERT-subw	92.768	91.80136512018993
mBERT	Italian	mBERT-lc-1	94.90657662003537	93.75616027426614
mBERT	Italian	mBERT-lc-2	91.88486894999195	90.54853224769658
mBERT	Italian	mBERT-subw	97.75140697861393	97.41018498678667
mBERT	Japanese	mBERT-lc-1	33.081335369124744	32.414500836586726
mBERT	Japanese	mBERT-lc-2	33.03910645263346	32.362892730990886
mBERT	Japanese	mBERT-subw	33.21985171735512	32.55430377393567
mBERT	Korean	mBERT-lc-1	94.09130469182689	93.27645773108652
mBERT	Korean	mBERT-lc-2	93.9409763430651	92.87879856165833
mBERT	Korean	mBERT-subw	94.39829100403513	93.68398787280547
mBERT	Latin	mBERT-lc-1	83.97188651752808	80.7394235756094
mBERT	Latin	mBERT-lc-2	80.04628439187454	77.11195080388235
mBERT	Latin	mBERT-subw	88.69975143567326	85.6471808550048
mBERT	Latvian	mBERT-lc-1	92.35751211106415	91.53736460450862
mBERT	Latvian	mBERT-lc-2	90.17264362584127	89.25695561151734
mBERT	Latvian	mBERT-subw	94.9865071365868	94.16001699080675
mBERT	Lithuanian	mBERT-lc-1	92.62802768166091	88.8143094228287
mBERT	Lithuanian	mBERT-lc-2	90.39100346020761	86.3267564078923
mBERT	Lithuanian	mBERT-subw	95.64878892733563	92.39904112115066
mBERT	Maltese	mBERT-lc-1	82.43706533450876	82.21981396188929
mBERT	Maltese	mBERT-lc-2	81.41443824076795	81.28059243204191
mBERT	Maltese	mBERT-subw	86.33754530316386	85.23254763839971
mBERT	Marathi	mBERT-lc-1	83.46555323590815	81.5625
mBERT	Marathi	mBERT-lc-2	81.04384133611691	81.20535714285714
mBERT	Marathi	mBERT-subw	86.8893528183716	85.66964285714285
mBERT	Naija	mBERT-lc-1	92.50308769040757	92.24088659650101
mBERT	Naija	mBERT-lc-2	91.16234390009606	90.7897121349411
mBERT	Naija	mBERT-subw	97.24303554274736	96.6947793963895
mBERT	Norwegian	mBERT-lc-1	92.68937831669828	92.2091703931122
mBERT	Norwegian	mBERT-lc-2	90.12070719568865	89.46739638256693
mBERT	Norwegian	mBERT-subw	97.65184635266299	97.3463258359474
mBERT	Old_Church_Slavonic	mBERT-lc-1	79.10891089108911	78.65417206659356
mBERT	Old_Church_Slavonic	mBERT-lc-2	79.94455445544554	79.13069484597746
mBERT	Old_Church_Slavonic	mBERT-subw	73.94059405940594	73.41441531253115
mBERT	Old_East_Slavic	mBERT-lc-1	74.5145969222975	73.51910931701283
mBERT	Old_East_Slavic	mBERT-lc-2	74.70457855740612	73.75089524057556
mBERT	Old_East_Slavic	mBERT-subw	74.03710974605788	73.09720684940426
mBERT	Old_French	mBERT-lc-1	82.28385150586288	82.12413524310631
mBERT	Old_French	mBERT-lc-2	79.86668612854571	79.83727954789049
mBERT	Old_French	mBERT-subw	88.7724419792731	88.4643866315892
mBERT	Persian	mBERT-lc-1	91.25652146583695	91.42290038456767
mBERT	Persian	mBERT-lc-2	87.9338739078509	87.90720754248852
mBERT	Persian	mBERT-subw	96.45609403482305	96.41731795062648
mBERT	Polish	mBERT-lc-1	94.92560091568103	94.52867602196461
mBERT	Polish	mBERT-lc-2	93.12170927127049	92.934716290421
mBERT	Polish	mBERT-subw	97.78099961846623	97.61897498474681
mBERT	Portuguese	mBERT-lc-1	94.45099967223862	94.06684672518568
mBERT	Portuguese	mBERT-lc-2	91.80006555227793	91.37609723160027
mBERT	Portuguese	mBERT-subw	97.41461815798098	97.36799459824445
mBERT	Romanian	mBERT-lc-1	87.31003285044967	86.8540932049938
mBERT	Romanian	mBERT-lc-2	84.29963918358555	83.74058896407129
mBERT	Romanian	mBERT-subw	92.81167537293338	92.4797484036977
mBERT	Russian	mBERT-lc-1	86.95919175911253	91.86879501654661
mBERT	Russian	mBERT-lc-2	84.8851030110935	89.90656024917267
mBERT	Russian	mBERT-subw	91.12123613312204	94.90558691843486
mBERT	Serbian	mBERT-lc-1	95.56074376719755	96.14219420365993
mBERT	Serbian	mBERT-lc-2	93.42950054198283	94.20891340513091
mBERT	Serbian	mBERT-subw	97.9671475027099	98.37492338674373
mBERT	Slovak	mBERT-lc-1	93.67396593673966	94.31237258899168
mBERT	Slovak	mBERT-lc-2	92.05870810768386	92.93554963148816
mBERT	Slovak	mBERT-subw	96.44611882897732	96.76650462599969
mBERT	Slovenian	mBERT-lc-1	94.51752826566167	94.38800880869503
mBERT	Slovenian	mBERT-lc-2	92.56915309677878	92.23556155430845
mBERT	Slovenian	mBERT-subw	97.70319277536798	97.37301981956384
mBERT	Spanish	mBERT-lc-1	96.37612198550883	96.32717659119113
mBERT	Spanish	mBERT-lc-2	93.9764247864172	94.02226498570221
mBERT	Spanish	mBERT-subw	98.74229479831297	98.6533100731975
mBERT	Swedish	mBERT-lc-1	88.98514717796381	88.44886430504883
mBERT	Swedish	mBERT-lc-2	85.3448555225493	84.9664587501471
mBERT	Swedish	mBERT-subw	95.83904941938968	96.03742497352007
mBERT	Swedish_Sign_Language	mBERT-lc-1	62.836257309941516	65.88652482269504
mBERT	Swedish_Sign_Language	mBERT-lc-2	62.92397660818714	66.02836879432625
mBERT	Swedish_Sign_Language	mBERT-subw	65.96491228070177	67.87234042553192
mBERT	Tamil	mBERT-lc-1	80.40462427745665	78.07976366322009
mBERT	Tamil	mBERT-lc-2	78.56936416184972	76.47464303298868
mBERT	Tamil	mBERT-subw	85.52023121387283	83.94879369768587
mBERT	Telugu	mBERT-lc-1	88.36858006042296	88.12760055478502
mBERT	Telugu	mBERT-lc-2	87.94561933534744	87.93342579750347
mBERT	Telugu	mBERT-subw	91.3595166163142	90.9015256588072
mBERT	Turkish	mBERT-lc-1	95.0352146647371	96.10661401776899
mBERT	Turkish	mBERT-lc-2	94.86734201640134	96.18756169792695
mBERT	Turkish	mBERT-subw	95.5137481910275	96.70483711747285
mBERT	Ukrainian	mBERT-lc-1	94.98490865766482	94.36902262654536
mBERT	Ukrainian	mBERT-lc-2	93.44876886417794	44.898098989553
mBERT	Ukrainian	mBERT-subw	97.27402700555997	96.87077210170283
mBERT	Urdu	mBERT-lc-1	87.84445511281805	87.0538970687559
mBERT	Urdu	mBERT-lc-2	85.91866127151772	84.94394164527894
mBERT	Urdu	mBERT-subw	92.9140662506001	92.18830203971363
mBERT	Uyghur	mBERT-lc-1	73.33709131905299	73.83349467570183
mBERT	Uyghur	mBERT-lc-2	76.09921082299887	76.8460793804453
mBERT	Uyghur	mBERT-subw	71.36039083051483	71.9322362052275
mBERT	Vietnamese	mBERT-lc-1	76.49643911759597	75.50146382266834
mBERT	Vietnamese	mBERT-lc-2	75.05645301372243	73.82350480970305
mBERT	Vietnamese	mBERT-subw	89.31561577210353	89.24132162275198
mBERT	Welsh	mBERT-lc-1	85.41098098205653	84.51433857539315
mBERT	Welsh	mBERT-lc-2	83.17825292790373	82.85962072155412
mBERT	Welsh	mBERT-subw	92.07693134200065	91.13205365402405
mBERT	Western_Armenian	mBERT-lc-1	56.35414653005993	89.68143261074458
mBERT	Western_Armenian	mBERT-lc-2	55.50550937560409	88.23185673892553
mBERT	Western_Armenian	mBERT-subw	93.3566229985444	92.98586239396795
mBERT	Wolof	mBERT-lc-1	83.66090814688945	83.08439133681853
mBERT	Wolof	mBERT-lc-2	83.13036911167752	82.68110530246452
mBERT	Wolof	mBERT-subw	85.60370055697157	84.68446601941748
